1.668110198806971312e-04,1.566347491461783648e-03,8.138831704854965210e-03
4.614790249615907669e-02,2.594327330589294434e-01,7.843743860721588135e-01
5.117990821599960327e-02,3.082121014595031738e-01,1.130267024040222168e+00
5.256206542253494263e-02,5.174959301948547363e-01,1.582767963409423828e+00
4.439722374081611633e-02,4.252220094203948975e-01,2.092280387878417969e+00
6.123047228902578354e-02,5.687135159969329834e-01,2.525708198547363281e+00
6.664482317864894867e-02,6.441441774368286133e-01,2.889565229415893555e+00
9.140950627624988556e-02,7.307281494140625000e-01,3.301910161972045898e+00
5.941336229443550110e-02,7.985748350620269775e-01,3.484619855880737305e+00
4.324764013290405273e-02,8.635619282722473145e-01,3.999221503734588623e+00
4.910019505769014359e-02,9.440157115459442139e-01,4.384813308715820312e+00
